1;arms_factory;917.00;14.05;2666.00;2.61;0
1;arms_factory;1174.00;13.63;2598.00;2.71;0
1;arms_factory;1177.00;11.00;2632.00;0.55;0
1;arms_factory;1155.00;12.50;2767.00;3.21;0
1;arms_factory;905.00;12.25;2468.00;4.77;0
1;arms_factory;1018.00;11.90;2620.00;1.16;0
1;industrial_complex;860.00;9.70;2531.00;5.28;0
1;industrial_complex;1111.00;12.07;2684.00;0.20;0
1;industrial_complex;922.00;11.95;2767.00;3.22;0
1;industrial_complex;1036.00;11.75;2661.00;5.88;0
1;industrial_complex;936.00;14.32;2555.00;2.26;0
1;industrial_complex;952.00;12.03;2751.00;0.11;0
1;air_base;1306.00;11.25;2770.00;1.67;0
1;naval_base;873.00;10.03;2674.00;-2.11;1620
1;naval_base;909.00;10.15;2448.00;-0.85;1686
1;naval_base;835.00;11.07;2773.00;-1.48;1711
1;naval_base;918.00;11.75;2568.00;-1.25;1715
1;naval_base;876.00;9.80;2703.00;-1.14;1620
1;bunker;1120.00;12.20;2739.00;5.44;0
1;bunker;1307.00;10.68;2758.00;2.17;0
1;bunker;884.00;10.18;2749.00;3.38;0
1;bunker;921.00;13.95;2613.00;1.22;0
1;bunker;914.00;10.50;2479.00;5.34;0
1;bunker;882.00;11.63;2705.00;5.45;0
1;bunker;1159.00;11.57;2608.00;3.29;0
1;bunker;1193.00;11.53;2765.00;5.95;0
1;bunker;1019.00;13.55;2605.00;2.33;0
1;bunker;1124.00;11.93;2753.00;3.89;0
1;bunker;1110.00;11.78;2650.00;1.73;0
1;bunker;899.00;12.65;2663.00;4.40;0
1;bunker;1003.00;12.07;2800.00;0.78;0
1;bunker;987.00;12.28;2669.00;2.34;0
1;coastal_bunker;826.00;9.70;2757.00;-1.48;0
1;coastal_bunker;864.00;10.73;2677.00;-2.11;0
1;coastal_bunker;862.00;9.50;2511.00;-0.85;0
1;coastal_bunker;832.00;9.50;2700.00;-1.14;0
1;coastal_bunker;913.00;13.53;2596.00;-1.25;0
1;dockyard;861.00;9.50;2643.00;-2.11;0
1;anti_air_building;1027.00;12.48;2605.00;2.85;0
1;anti_air_building;984.00;12.15;2653.00;5.51;0
1;anti_air_building;1159.00;10.95;2627.00;1.90;0
1;synthetic_refinery;1051.00;13.38;2754.00;6.02;0
1;fuel_silo;1300.00;11.35;2760.00;6.12;0
1;radar_station;1083.00;11.75;2628.00;6.20;0
1;rocket_site;1172.00;11.35;2637.00;1.80;0
1;nuclear_reactor;892.00;12.40;2553.00;4.46;0
2;arms_factory;715.00;9.75;2730.00;3.21;0
2;arms_factory;702.00;10.30;2760.00;4.77;0
2;arms_factory;708.00;9.75;2725.00;1.16;0
2;arms_factory;709.00;9.90;2731.00;5.28;0
2;arms_factory;704.00;9.93;2761.00;0.20;0
2;arms_factory;720.00;10.10;2725.00;3.22;0
2;industrial_complex;712.00;9.90;2749.00;5.88;0
2;industrial_complex;698.00;9.78;2763.00;2.26;0
2;industrial_complex;706.00;9.70;2772.00;0.11;0
2;industrial_complex;707.00;9.73;2750.00;1.67;0
2;industrial_complex;701.00;9.85;2764.00;5.79;0
2;industrial_complex;712.00;9.70;2788.00;0.71;0
